#   WAVELENGTH        FLUX
#------------- -----------
     3558.400      1.3634
     3558.500      1.3634
     3558.600      1.3633
     3558.700      1.3632
     3558.800      1.3631
     3558.900      1.3631
     3559.000      1.3630
     3559.100      1.3629
     3559.200      1.3628
     3559.300      1.3628
     3559.400      1.3627
     3559.500      1.3626
     3559.600      1.3625
     3559.700      1.3624
     3559.800      1.3624
     3559.900      1.3623
     3560.000      1.3622
     3560.100      1.3621
     3560.200      1.3621
     3560.300      1.3620
     3560.400      1.3619
     3560.500      1.3618
     3560.600      1.3618
     3560.700      1.3617
     3560.800      1.3616
     3560.900      1.3615
     3561.000      1.3615
     3561.100      1.3614
     3561.200      1.3613
     3561.300      1.3612
     3561.400      1.3611
     3561.500      1.3611
     3561.600      1.3610
     3561.700      1.3609
     3561.800      1.3608
     3561.900      1.3608
     3562.000      1.3607
     3562.100      1.3606
     3562.200      1.3605
     3562.300      1.3605
     3562.400      1.3604
     3562.500      1.3603
     3562.600      1.3602
     3562.700      1.3602
     3562.800      1.3601
     3562.900      1.3600
     3563.000      1.3599
     3563.100      1.3599
     3563.200      1.3598
     3563.300      1.3597
     3563.400      1.3596
     3563.500      1.3595
     3563.600      1.3595
     3563.700      1.3594
     3563.800      1.3593
     3563.900      1.3592
     3564.000      1.3592
     3564.100      1.3591
     3564.200      1.3590
     3564.300      1.3589
     3564.400      1.3589
     3564.500      1.3588
     3564.600      1.3587
     3564.700      1.3586
     3564.800      1.3586
     3564.900      1.3585
     3565.000      1.3584
     3565.100      1.3583
     3565.200      1.3582
     3565.300      1.3582
     3565.400      1.3581
     3565.500      1.3580
     3565.600      1.3579
     3565.700      1.3579
     3565.800      1.3578
     3565.900      1.3577
     3566.000      1.3576
     3566.100      1.3576
     3566.200      1.3575
     3566.300      1.3574
     3566.400      1.3573
     3566.500      1.3573
     3566.600      1.3572
     3566.700      1.3571
     3566.800      1.3570
     3566.900      1.3570
     3567.000      1.3569
     3567.100      1.3568
     3567.200      1.3567
     3567.300      1.3567
     3567.400      1.3566
     3567.500      1.3565
     3567.600      1.3564
     3567.700      1.3563
     3567.800      1.3563
     3567.900      1.3562
     3568.000      1.3561
     3568.100      1.3560
     3568.200      1.3560
     3568.300      1.3559
     3568.400      1.3558
     3568.500      1.3557
     3568.600      1.3557
     3568.700      1.3556
     3568.800      1.3555
     3568.900      1.3554
     3569.000      1.3554
     3569.100      1.3553
     3569.200      1.3552
     3569.300      1.3551
     3569.400      1.3551
     3569.500      1.3550
     3569.600      1.3549
     3569.700      1.3548
     3569.800      1.3548
     3569.900      1.3547
     3570.000      1.3546
     3570.100      1.3545
     3570.200      1.3544
     3570.300      1.3544
     3570.400      1.3543
     3570.500      1.3542
     3570.600      1.3541
     3570.700      1.3541
     3570.800      1.3540
     3570.900      1.3539
     3571.000      1.3538
     3571.100      1.3538
     3571.200      1.3537
     3571.300      1.3536
     3571.400      1.3535
     3571.500      1.3535
     3571.600      1.3534
     3571.700      1.3533
     3571.800      1.3532
     3571.900      1.3532
     3572.000      1.3531
     3572.100      1.3530
     3572.200      1.3529
     3572.300      1.3529
     3572.400      1.3528
     3572.500      1.3527
     3572.600      1.3526
     3572.700      1.3526
     3572.800      1.3525
     3572.900      1.3524
     3573.000      1.3523
     3573.100      1.3522
     3573.200      1.3522
     3573.300      1.3521
     3573.400      1.3520
     3573.500      1.3519
     3573.600      1.3519
     3573.700      1.3518
     3573.800      1.3517
     3573.900      1.3516
     3574.000      1.3516
     3574.100      1.3515
     3574.200      1.3514
     3574.300      1.3513
     3574.400      1.3513
     3574.500      1.3512
     3574.600      1.3511
     3574.700      1.3510
     3574.800      1.3510
     3574.900      1.3509
     3575.000      1.3508
     3575.100      1.3507
     3575.200      1.3507
     3575.300      1.3506
     3575.400      1.3505
     3575.500      1.3504
     3575.600      1.3504
     3575.700      1.3503
     3575.800      1.3502
     3575.900      1.3501
     3576.000      1.3501
     3576.100      1.3500
     3576.200      1.3499
     3576.300      1.3498
     3576.400      1.3498
     3576.500      1.3497
     3576.600      1.3496
     3576.700      1.3495
     3576.800      1.3495
     3576.900      1.3494
     3577.000      1.3493
     3577.100      1.3492
     3577.200      1.3492
     3577.300      1.3491
     3577.400      1.3490
     3577.500      1.3489
     3577.600      1.3489
     3577.700      1.3488
     3577.800      1.3487
     3577.900      1.3486
     3578.000      1.3485
     3578.100      1.3485
     3578.200      1.3484
     3578.300      1.3483
     3578.400      1.3482
     3578.500      1.3482
     3578.600      1.3481
     3578.700      1.3480
     3578.800      1.3479
     3578.900      1.3479
     3579.000      1.3478
     3579.100      1.3477
     3579.200      1.3476
     3579.300      1.3476
     3579.400      1.3475
     3579.500      1.3474
     3579.600      1.3473
     3579.700      1.3473
     3579.800      1.3472
     3579.900      1.3471
     3580.000      1.3470
     3580.100      1.3470
     3580.200      1.3469
     3580.300      1.3468
     3580.400      1.3467
     3580.500      1.3467
     3580.600      1.3466
     3580.700      1.3465
     3580.800      1.3464
     3580.900      1.3464
     3581.000      1.3463
     3581.100      1.3462
     3581.200      1.3461
     3581.300      1.3461
     3581.400      1.3460
     3581.500      1.3459
     3581.600      1.3458
     3581.700      1.3458
     3581.800      1.3457
     3581.900      1.3456
     3582.000      1.3455
     3582.100      1.3455
     3582.200      1.3454
     3582.300      1.3453
     3582.400      1.3452
     3582.500      1.3452
     3582.600      1.3451
     3582.700      1.3450
     3582.800      1.3449
     3582.900      1.3449
     3583.000      1.3448
     3583.100      1.3447
     3583.200      1.3446
     3583.300      1.3446
     3583.400      1.3445
     3583.500      1.3444
     3583.600      1.3443
     3583.700      1.3443
     3583.800      1.3442
     3583.900      1.3441
     3584.000      1.3440
     3584.100      1.3440
     3584.200      1.3439
     3584.300      1.3438
     3584.400      1.3437
     3584.500      1.3437
     3584.600      1.3436
     3584.700      1.3435
     3584.800      1.3434
     3584.900      1.3434
     3585.000      1.3433
     3585.100      1.3432
     3585.200      1.3431
     3585.300      1.3431
     3585.400      1.3430
     3585.500      1.3429
     3585.600      1.3428
     3585.700      1.3428
     3585.800      1.3427
     3585.900      1.3426
     3586.000      1.3425
     3586.100      1.3425
     3586.200      1.3424
     3586.300      1.3423
     3586.400      1.3422
     3586.500      1.3422
     3586.600      1.3421
     3586.700      1.3420
     3586.800      1.3419
     3586.900      1.3419
     3587.000      1.3418
     3587.100      1.3417
     3587.200      1.3416
     3587.300      1.3416
     3587.400      1.3415
     3587.500      1.3414
     3587.600      1.3413
     3587.700      1.3413
     3587.800      1.3412
     3587.900      1.3411
     3588.000      1.3410
     3588.100      1.3410
     3588.200      1.3409
     3588.300      1.3408
     3588.400      1.3407
     3588.500      1.3407
     3588.600      1.3406
     3588.700      1.3405
     3588.800      1.3404
     3588.900      1.3404
     3589.000      1.3403
     3589.100      1.3402
     3589.200      1.3401
     3589.300      1.3401
     3589.400      1.3400
     3589.500      1.3399
     3589.600      1.3398
     3589.700      1.3398
     3589.800      1.3397
     3589.900      1.3396
     3590.000      1.3395
     3590.100      1.3395
     3590.200      1.3394
     3590.300      1.3393
     3590.400      1.3392
     3590.500      1.3392
     3590.600      1.3391
     3590.700      1.3390
     3590.800      1.3390
     3590.900      1.3389
     3591.000      1.3388
     3591.100      1.3387
     3591.200      1.3387
     3591.300      1.3386
     3591.400      1.3385
     3591.500      1.3384
     3591.600      1.3384
     3591.700      1.3383
     3591.800      1.3382
     3591.900      1.3381
     3592.000      1.3381
     3592.100      1.3380
     3592.200      1.3379
     3592.300      1.3378
     3592.400      1.3378
     3592.500      1.3377
     3592.600      1.3376
     3592.700      1.3375
     3592.800      1.3375
     3592.900      1.3374
     3593.000      1.3373
     3593.100      1.3372
     3593.200      1.3372
     3593.300      1.3371
     3593.400      1.3370
     3593.500      1.3369
     3593.600      1.3369
     3593.700      1.3368
     3593.800      1.3367
     3593.900      1.3366
     3594.000      1.3366
     3594.100      1.3365
     3594.200      1.3364
     3594.300      1.3363
     3594.400      1.3363
     3594.500      1.3362
     3594.600      1.3361
     3594.700      1.3360
     3594.800      1.3360
     3594.900      1.3359
     3595.000      1.3358
     3595.100      1.3358
     3595.200      1.3357
     3595.300      1.3356
     3595.400      1.3355
     3595.500      1.3355
     3595.600      1.3354
     3595.700      1.3353
     3595.800      1.3352
     3595.900      1.3352
     3596.000      1.3351
     3596.100      1.3350
     3596.200      1.3349
     3596.300      1.3349
     3596.400      1.3348
     3596.500      1.3347
     3596.600      1.3346
     3596.700      1.3346
     3596.800      1.3345
     3596.900      1.3344
     3597.000      1.3343
     3597.100      1.3343
     3597.200      1.3342
     3597.300      1.3341
     3597.400      1.3340
     3597.500      1.3340
     3597.600      1.3339
     3597.700      1.3338
     3597.800      1.3337
     3597.900      1.3337
     3598.000      1.3336
     3598.100      1.3335
     3598.200      1.3334
     3598.300      1.3334
     3598.400      1.3333
     3598.500      1.3332
     3598.600      1.3332
     3598.700      1.3331
     3598.800      1.3330
     3598.900      1.3329
     3599.000      1.3329
     3599.100      1.3328
     3599.200      1.3327
     3599.300      1.3326
     3599.400      1.3326
     3599.500      1.3325
     3599.600      1.3324
     3599.700      1.3323
     3599.800      1.3323
     3599.900      1.3322
     3600.000      1.3321
     3600.100      1.3320
     3600.200      1.3320
     3600.300      1.3319
     3600.400      1.3318
     3600.500      1.3317
     3600.600      1.3317
     3600.700      1.3316
     3600.800      1.3315
     3600.900      1.3315
     3601.000      1.3314
     3601.100      1.3313
     3601.200      1.3312
     3601.300      1.3312
     3601.400      1.3311
     3601.500      1.3310
     3601.600      1.3309
     3601.700      1.3309
     3601.800      1.3308
     3601.900      1.3307
     3602.000      1.3306
     3602.100      1.3306
     3602.200      1.3305
     3602.300      1.3304
     3602.400      1.3303
     3602.500      1.3303
     3602.600      1.3302
     3602.700      1.3301
     3602.800      1.3300
     3602.900      1.3300
     3603.000      1.3299
     3603.100      1.3298
     3603.200      1.3298
     3603.300      1.3297
     3603.400      1.3296
     3603.500      1.3295
     3603.600      1.3295
     3603.700      1.3294
     3603.800      1.3293
     3603.900      1.3292
     3604.000      1.3292
     3604.100      1.3291
     3604.200      1.3290
     3604.300      1.3289
     3604.400      1.3289
     3604.500      1.3288
     3604.600      1.3287
     3604.700      1.3286
     3604.800      1.3286
     3604.900      1.3285
     3605.000      1.3284
     3605.100      1.3284
     3605.200      1.3283
     3605.300      1.3282
     3605.400      1.3281
     3605.500      1.3281
     3605.600      1.3280
     3605.700      1.3279
     3605.800      1.3278
     3605.900      1.3278
     3606.000      1.3277
     3606.100      1.3276
     3606.200      1.3275
     3606.300      1.3275
     3606.400      1.3274
     3606.500      1.3273
     3606.600      1.3272
     3606.700      1.3272
     3606.800      1.3271
     3606.900      1.3270
     3607.000      1.3270
     3607.100      1.3269
     3607.200      1.3268
     3607.300      1.3267
     3607.400      1.3267
     3607.500      1.3266
     3607.600      1.3265
     3607.700      1.3264
     3607.800      1.3264
     3607.900      1.3263
     3608.000      1.3262
     3608.100      1.3261
     3608.200      1.3261
     3608.300      1.3260
     3608.400      1.3259
     3608.500      1.3258
     3608.600      1.3258
     3608.700      1.3257
     3608.800      1.3256
     3608.900      1.3256
     3609.000      1.3255
     3609.100      1.3254
     3609.200      1.3253
     3609.300      1.3253
     3609.400      1.3252
     3609.500      1.3251
     3609.600      1.3250
     3609.700      1.3250
     3609.800      1.3249
     3609.900      1.3248
     3610.000      1.3247
     3610.100      1.3247
     3610.200      1.3246
     3610.300      1.3245
     3610.400      1.3245
     3610.500      1.3244
     3610.600      1.3243
     3610.700      1.3242
     3610.800      1.3242
     3610.900      1.3241
     3611.000      1.3240
     3611.100      1.3239
     3611.200      1.3239
     3611.300      1.3238
     3611.400      1.3237
     3611.500      1.3236
     3611.600      1.3236
     3611.700      1.3235
     3611.800      1.3234
     3611.900      1.3234
     3612.000      1.3233
     3612.100      1.3232
     3612.200      1.3231
     3612.300      1.3231
     3612.400      1.3230
     3612.500      1.3229
     3612.600      1.3228
     3612.700      1.3228
     3612.800      1.3227
