# ------------- -------------
WAVELENGTH FLUX WAVE
2988.4999999999923 22.03476 ""
2988.599999999992 22.03476 ""
2988.699999999992 22.03476 ""
2988.799999999992 22.03476 ""
2988.899999999992 22.03476 ""
2988.999999999992 22.03476 ""
2989.0999999999917 22.03476 ""
2989.1999999999916 22.03476 ""
2989.2999999999915 22.03476 ""
2989.3999999999915 22.03476 ""
2989.4999999999914 22.03476 ""
2989.5999999999913 22.03476 ""
2989.699999999991 22.03476 ""
2989.799999999991 22.03476 ""
2989.899999999991 22.03476 ""
2989.999999999991 22.03476 ""
2990.099999999991 22.03476 ""
2990.1999999999907 22.03476 ""
2990.2999999999906 22.03476 ""
2990.3999999999905 22.03476 ""
2990.4999999999905 22.03476 ""
2990.5999999999904 22.03476 ""
2990.6999999999903 22.03476 ""
2990.79999999999 22.03476 ""
2990.89999999999 22.03476 ""
2990.99999999999 22.03476 ""
2991.09999999999 22.03476 ""
2991.19999999999 22.03476 ""
2991.2999999999897 22.03476 ""
2991.3999999999896 22.03476 ""
2991.4999999999895 22.03476 ""
2991.5999999999894 22.03476 ""
2991.6999999999894 22.03476 ""
2991.7999999999893 22.03476 ""
2991.899999999989 22.03476 ""
2991.999999999989 22.03476 ""
2992.099999999989 22.03476 ""
2992.199999999989 22.03476 ""
2992.299999999989 22.03476 ""
2992.3999999999887 22.03476 ""
2992.4999999999886 22.03476 ""
2992.5999999999885 22.03476 ""
2992.6999999999884 22.03476 ""
2992.7999999999884 22.03476 ""
2992.8999999999883 22.03476 ""
2992.999999999988 22.03476 ""
2993.099999999988 22.03476 ""
2993.199999999988 22.03476 ""
2993.299999999988 22.03476 ""
2993.399999999988 22.03476 ""
2993.4999999999877 22.03476 ""
2993.5999999999876 22.03476 ""
2993.6999999999875 22.03476 ""
2993.7999999999874 22.03476 ""
2993.8999999999874 22.03476 ""
2993.9999999999873 22.03476 ""
2994.099999999987 22.03476 ""
2994.199999999987 22.03476 ""
2994.299999999987 22.03476 ""
2994.399999999987 22.03476 ""
2994.499999999987 22.03476 ""
2994.5999999999867 22.03476 ""
2994.6999999999866 22.03476 ""
2994.7999999999865 22.03476 ""
2994.8999999999864 22.03476 ""
2994.9999999999864 22.03476 ""
2995.0999999999863 22.03476 ""
2995.199999999986 22.03476 ""
2995.299999999986 22.03476 ""
2995.399999999986 22.03476 ""
2995.499999999986 22.03476 ""
2995.599999999986 22.03476 ""
2995.6999999999857 22.03476 ""
2995.7999999999856 22.03476 ""
2995.8999999999855 22.03476 ""
2995.9999999999854 22.03476 ""
2996.0999999999854 22.03476 ""
2996.1999999999853 22.03476 ""
2996.299999999985 22.03476 ""
2996.399999999985 22.03476 ""
2996.499999999985 22.03476 ""
2996.599999999985 22.03476 ""
2996.699999999985 22.03476 ""
2996.7999999999847 22.03476 ""
2996.8999999999846 22.03476 ""
2996.9999999999845 22.03476 ""
2997.0999999999844 22.03476 ""
2997.1999999999844 22.03476 ""
2997.2999999999843 22.03476 ""
2997.399999999984 22.03476 ""
2997.499999999984 22.03476 ""
2997.599999999984 22.03476 ""
2997.699999999984 22.03476 ""
2997.799999999984 22.03476 ""
2997.8999999999837 22.03476 ""
2997.9999999999836 22.03476 ""
2998.0999999999835 22.03476 ""
2998.1999999999834 22.03476 ""
2998.2999999999834 22.03476 ""
2998.3999999999833 22.03476 ""
2998.499999999983 22.03476 ""
2998.599999999983 22.03476 ""
